sampling_date|Location|Rainfall|TSS|Flow|ops_activity
2021-06-22|Outlet_C|8.6|30.9|172|Normal Operation
2021-06-23|Outlet_B|16.9|112.2|160|Normal Operation
2021-06-24|Outlet_C|9.1|82.6|163|Construction
2021-06-25|Outlet_A|2.8|42.7|122|Normal Operation
2021-06-26|Outlet_C|13.7|148.0|86|Maintenance
2021-06-27|Outlet_B|28.3|162.5|171|Normal Operation
2021-06-28|Outlet_A|9.0|51.4|162|Normal Operation
2021-06-29|Outlet_A|4.7|41.1|163|Normal Operation
2021-06-30|Outlet_A|3.4|41.9|123|Normal Operation
2021-07-01|Outlet_C|13.1|131.2|119|Normal Operation
2021-07-02|Outlet_B|23.3|107.7|214|Normal Operation
2021-07-03|Outlet_A|6.5|24.4|104|Maintenance
2021-07-04|Outlet_A|5.3|61.2|138|Normal Operation
2021-07-05|Outlet_A|8.8|71.0|182|Normal Operation
2021-07-06|Outlet_C|14.5|142.4|165|Maintenance
2021-07-07|Outlet_C|4.4|57.8|191|Maintenance
2021-07-08|Outlet_B|9.9|34.1|165|Normal Operation
2021-07-09|Outlet_C|12.0|129.5|177|Normal Operation
2021-07-10|Outlet_A|12.7|132.9|141|Construction
2021-07-11|Outlet_B|3.2|44.9|87|Normal Operation
2021-07-12|Outlet_A|3.8|55.7|192|Normal Operation
2021-07-13|Outlet_A|8.9|37.9|139|Normal Operation
2021-07-14|Outlet_C|13.8|95.4|139|Maintenance
2021-07-15|Outlet_B|31.4|244.2|185|Normal Operation
2021-07-16|Outlet_C|3.0|147.1|81|Construction
2021-07-17|Outlet_C|10.1|140.5|170|Normal Operation
2021-07-18|Outlet_B|8.3|60.6|93|Maintenance
2021-07-19|Outlet_A|5.8|64.7|127|Normal Operation
2021-07-20|Outlet_A|18.4|135.0|182|Normal Operation
2021-07-21|Outlet_B|12.6|153.2|135|Construction
2021-07-22|Outlet_A|12.8|113.2|91|Normal Operation
2021-07-23|Outlet_B|2.8|29.5|134|Normal Operation
2021-07-24|Outlet_B|6.3|53.0|189|Normal Operation
2021-07-25|Outlet_C|8.7|48.8|83|Normal Operation
2021-07-26|Outlet_B|9.5|51.2|115|Normal Operation
2021-07-27|Outlet_C|36.5|188.0|210|Normal Operation
2021-07-28|Outlet_A|6.5|57.8|80|Normal Operation
2021-07-29|Outlet_A|0.4|37.7|96|Normal Operation
2021-07-30|Outlet_A|8.8|42.0|141|Normal Operation
2021-07-31|Outlet_A|12.1|93.7|127|Normal Operation
2021-08-01|Outlet_C|8.7|63.0|141|Maintenance
2021-08-02|Outlet_A|0.1|49.8|148|Normal Operation
2021-08-03|Outlet_B|10.4|114.3|182|Normal Operation
2021-08-04|Outlet_B|12.3|195.4|189|Construction
2021-08-05|Outlet_B|2.5|50.1|170|Normal Operation
2021-08-06|Outlet_C|4.6|114.1|193|Construction
2021-08-07|Outlet_A|7.9|93.5|168|Construction
2021-08-08|Outlet_A|5.2|60.1|135|Maintenance
2021-08-09|Outlet_A|6.0|57.1|157|Normal Operation
2021-08-10|Outlet_C|10.4|125.8|93|Maintenance
2021-08-11|Outlet_B|4.9|72.0|104|Maintenance
2021-08-12|Outlet_B|1.8|58.1|211|Normal Operation
2021-08-13|Outlet_A|15.7|116.0|111|Normal Operation
2021-08-14|Outlet_B|3.2|22.1|161|Normal Operation
2021-08-15|Outlet_B|7.1|53.4|157|Normal Operation
2021-08-16|Outlet_C|5.5|49.3|185|Normal Operation
2021-08-17|Outlet_C|2.8|34.5|99|Normal Operation
2021-08-18|Outlet_C|15.4|89.6|153|Normal Operation
2021-08-19|Outlet_C|14.3|118.8|89|Normal Operation
2021-08-20|Outlet_A|6.1|20.7|202|Normal Operation
2021-08-21|Outlet_C|8.2|54.7|113|Normal Operation
2021-08-22|Outlet_B|9.1|79.2|119|Construction
2021-08-23|Outlet_A|3.0|57.5|206|Normal Operation
2021-08-24|Outlet_B|3.4|45.6|112|Normal Operation
2021-08-25|Outlet_B|8.1|54.4|150|Normal Operation
2021-08-26|Outlet_B|2.8|38.9|216|Normal Operation
2021-08-27|Outlet_C|8.1|49.3|212|Maintenance
2021-08-28|Outlet_C|0.6|102.6|177|Construction
2021-08-29|Outlet_A|5.8|52.3|203|Normal Operation
2021-08-30|Outlet_A|10.3|172.8|122|Construction
2021-08-31|Outlet_C|9.7|36.1|193|Normal Operation
2021-09-01|Outlet_B|18.1|94.3|168|Normal Operation
2021-09-02|Outlet_A|3.0|41.4|92|Normal Operation
2021-09-03|Outlet_C|7.8|111.2|207|Construction
2021-09-04|Outlet_C|15.8|157.3|218|Normal Operation
2021-09-05|Outlet_C|10.2|112.0|131|Normal Operation
2021-09-06|Outlet_B|14.6|114.7|96|Maintenance
2021-09-07|Outlet_C|2.8|58.1|92|Normal Operation
2021-09-08|Outlet_C|8.7|70.2|163|Normal Operation
2021-09-09|Outlet_C|6.9|80.5|176|Construction
2021-09-10|Outlet_C|8.9|79.6|185|Normal Operation
2021-09-11|Outlet_A|4.2|56.2|175|Normal Operation
2021-09-12|Outlet_A|19.8|115.1|87|Normal Operation
2021-09-13|Outlet_C|13.5|135.9|135|Normal Operation
2021-09-14|Outlet_B|18.3|139.4|183|Normal Operation
2021-09-15|Outlet_A|10.3|145.2|162|Normal Operation
2021-09-16|Outlet_C|4.5|68.3|123|Normal Operation
2021-09-17|Outlet_A|12.9|97.9|182|Normal Operation
2021-09-18|Outlet_A|20.0|183.2|191|Construction
2021-09-19|Outlet_B|10.3|169.7|121|Construction
2021-09-20|Outlet_C|3.7|33.6|109|Normal Operation
2021-09-21|Outlet_C|5.1|61.9|105|Normal Operation
2021-09-22|Outlet_B|8.6|92.9|204|Construction
2021-09-23|Outlet_B|21.7|141.3|98|Normal Operation
2021-09-24|Outlet_C|26.2|227.3|132|Normal Operation
2021-09-25|Outlet_C|3.9|103.8|164|Construction
2021-09-26|Outlet_B|10.9|130.0|96|Maintenance
2021-09-27|Outlet_A|5.1|29.5|183|Maintenance
2021-09-28|Outlet_A|2.5|24.2|184|Maintenance
2021-09-29|Outlet_B|12.7|78.9|183|Normal Operation
2021-09-30|Outlet_A|9.3|66.0|203|Normal Operation
2021-10-01|Outlet_B|9.8|38.4|160|Normal Operation
2021-10-02|Outlet_A|7.3|52.0|116|Normal Operation
2021-10-03|Outlet_A|10.5|111.3|200|Normal Operation
2021-10-04|Outlet_C|10.2|126.8|149|Maintenance
2021-10-05|Outlet_C|15.0|160.8|209|Maintenance
2021-10-06|Outlet_A|4.1|48.1|138|Normal Operation
2021-10-07|Outlet_A|15.5|112.8|197|Maintenance
2021-10-08|Outlet_C|14.0|117.1|212|Maintenance
2021-10-09|Outlet_C|10.6|151.6|116|Normal Operation
2021-10-10|Outlet_C|8.5|35.6|110|Normal Operation
2021-10-11|Outlet_B|7.7|63.1|178|Normal Operation
2021-10-12|Outlet_A|7.8|71.7|173|Normal Operation
2021-10-13|Outlet_C|8.5|28.6|85|Normal Operation
2021-10-14|Outlet_A|1.9|54.2|94|Normal Operation
2021-10-15|Outlet_B|33.7|208.1|95|Normal Operation
2021-10-16|Outlet_B|17.4|133.6|99|Normal Operation
2021-10-17|Outlet_C|26.3|242.0|156|Construction
2021-10-18|Outlet_B|13.0|146.4|123|Normal Operation
2021-10-19|Outlet_A|4.9|25.9|125|Maintenance
2021-10-20|Outlet_C|11.8|134.9|174|Normal Operation
2021-10-21|Outlet_A|14.9|143.4|143|Normal Operation
2021-10-22|Outlet_A|3.7|80.5|210|Construction
2021-10-23|Outlet_B|19.7|120.3|88|Normal Operation
2021-10-24|Outlet_B|5.9|53.3|121|Normal Operation
2021-10-25|Outlet_B|13.9|139.2|152|Maintenance
2021-10-26|Outlet_B|21.6|110.9|163|Normal Operation
2021-10-27|Outlet_B|10.3|113.2|138|Normal Operation
2021-10-28|Outlet_C|21.7|84.2|100|Normal Operation
2021-10-29|Outlet_A|2.0|54.8|142|Maintenance
2021-10-30|Outlet_A|3.0|42.4|152|Normal Operation
2021-10-31|Outlet_A|4.1|37.3|140|Normal Operation
2021-11-01|Outlet_A|1.5|45.7|143|Normal Operation
2021-11-02|Outlet_B|21.7|109.6|148|Normal Operation
2021-11-03|Outlet_A|18.4|104.4|208|Maintenance
2021-11-04|Outlet_C|5.2|67.5|185|Normal Operation
2021-11-05|Outlet_C|32.4|221.7|144|Normal Operation
2021-11-06|Outlet_A|6.6|40.1|201|Normal Operation
2021-11-07|Outlet_A|27.0|262.2|141|Construction
2021-11-08|Outlet_C|27.4|197.3|182|Normal Operation
2021-11-09|Outlet_C|4.9|32.2|139|Maintenance
2021-11-10|Outlet_B|14.9|99.1|125|Maintenance
2021-11-11|Outlet_C|17.8|113.8|84|Normal Operation
2021-11-12|Outlet_B|4.8|47.4|192|Normal Operation
2021-11-13|Outlet_B|0.2|60.9|149|Normal Operation
2021-11-14|Outlet_B|14.6|122.0|90|Maintenance
2021-11-15|Outlet_B|4.0|68.4|217|Normal Operation
2021-11-16|Outlet_B|7.5|49.8|177|Normal Operation
2021-11-17|Outlet_A|9.6|76.6|110|Maintenance
2021-11-18|Outlet_C|12.6|96.0|91|Normal Operation
2021-11-19|Outlet_B|6.3|38.5|187|Normal Operation
2021-11-20|Outlet_C|10.1|114.5|159|Normal Operation
2021-11-21|Outlet_C|18.7|120.6|146|Normal Operation
2021-11-22|Outlet_B|1.0|29.3|131|Maintenance
2021-11-23|Outlet_A|2.1|47.0|212|Normal Operation
2021-11-24|Outlet_B|2.8|40.8|218|Normal Operation
2021-11-25|Outlet_A|5.4|118.1|104|Construction
2021-11-26|Outlet_C|14.4|136.4|114|Normal Operation
2021-11-27|Outlet_A|16.9|203.6|101|Construction
2021-11-28|Outlet_A|7.1|115.2|175|Construction
2021-11-29|Outlet_A|7.2|70.6|196|Normal Operation
2021-11-30|Outlet_C|20.9|93.6|99|Normal Operation
2021-12-01|Outlet_C|9.7|63.9|185|Maintenance
2021-12-02|Outlet_A|6.1|53.4|83|Normal Operation
2021-12-03|Outlet_A|15.6|173.9|97|Normal Operation
2021-12-04|Outlet_B|14.4|117.1|130|Maintenance
2021-12-05|Outlet_A|11.2|84.8|99|Normal Operation
2021-12-06|Outlet_B|5.2|116.8|201|Construction
2021-12-07|Outlet_A|3.5|39.0|216|Normal Operation
2021-12-08|Outlet_B|3.8|40.0|159|Normal Operation
2021-12-09|Outlet_C|4.0|36.9|181|Normal Operation
2021-12-10|Outlet_A|3.7|103.5|104|Construction
2021-12-11|Outlet_A|5.4|31.2|138|Normal Operation
2021-12-12|Outlet_A|8.2|50.3|124|Maintenance
2021-12-13|Outlet_A|9.0|46.0|120|Normal Operation
2021-12-14|Outlet_B|3.0|65.5|117|Normal Operation
2021-12-15|Outlet_A|10.0|41.5|196|Normal Operation
2021-12-16|Outlet_C|8.9|56.2|98|Normal Operation
2021-12-17|Outlet_C|7.6|32.4|93|Normal Operation
2021-12-18|Outlet_A|5.0|84.1|206|Normal Operation
2021-12-19|Outlet_C|3.0|46.4|82|Normal Operation
2021-12-20|Outlet_A|12.6|165.8|116|Construction
2021-12-21|Outlet_A|8.9|74.8|196|Normal Operation
2021-12-22|Outlet_C|10.8|178.5|95|Construction
2021-12-23|Outlet_A|5.9|75.0|88|Normal Operation
2021-12-24|Outlet_C|5.3|43.8|86|Normal Operation
2021-12-25|Outlet_B|16.8|144.9|213|Normal Operation
2021-12-26|Outlet_A|6.6|41.4|94|Normal Operation
2021-12-27|Outlet_B|9.4|29.7|151|Normal Operation
2021-12-28|Outlet_C|7.8|56.2|183|Normal Operation
2021-12-29|Outlet_B|4.0|59.6|208|Normal Operation
2021-12-30|Outlet_B|5.8|30.3|175|Maintenance
2021-12-31|Outlet_C|29.2|225.9|201|Normal Operation
2022-01-01|Outlet_B|4.5|68.0|194|Maintenance
2022-01-02|Outlet_B|8.8|59.0|159|Normal Operation
2022-01-03|Outlet_C|4.8|44.1|86|Normal Operation
2022-01-04|Outlet_B|8.0|41.0|214|Normal Operation
2022-01-05|Outlet_C|4.5|79.2|129|Normal Operation
2022-01-06|Outlet_B|5.5|28.3|209|Normal Operation
2022-01-07|Outlet_C|2.1|49.1|126|Normal Operation
2022-01-08|Outlet_C|9.0|28.0|93|Normal Operation
2022-01-09|Outlet_B|6.2|69.7|110|Normal Operation
2022-01-10|Outlet_B|12.1|131.1|129|Normal Operation
2022-01-11|Outlet_B|7.9|52.7|120|Normal Operation
2022-01-12|Outlet_A|4.4|91.5|93|Normal Operation
2022-01-13|Outlet_A|3.5|72.0|212|Construction
2022-01-14|Outlet_A|8.3|76.2|84|Maintenance
2022-01-15|Outlet_C|20.0|102.8|84|Normal Operation
2022-01-16|Outlet_B|5.2|108.4|192|Construction
2022-01-17|Outlet_C|1.2|120.0|197|Construction
2022-01-18|Outlet_A|9.7|47.6|175|Normal Operation
2022-01-19|Outlet_B|18.6|71.4|115|Normal Operation
2022-01-20|Outlet_C|12.3|209.5|158|Construction
2022-01-21|Outlet_B|2.7|47.4|98|Normal Operation
2022-01-22|Outlet_C|9.1|98.8|101|Construction
2022-01-23|Outlet_B|15.0|129.3|135|Normal Operation
2022-01-24|Outlet_A|5.9|83.2|96|Normal Operation
2022-01-25|Outlet_A|5.3|58.4|96|Normal Operation
2022-01-26|Outlet_B|5.4|33.9|157|Normal Operation
2022-01-27|Outlet_C|7.1|51.9|135|Maintenance
2022-01-28|Outlet_A|2.9|107.6|159|Construction
2022-01-29|Outlet_A|9.6|46.3|129|Normal Operation
2022-01-30|Outlet_A|10.0|36.3|137|Normal Operation
2022-01-31|Outlet_B|10.2|140.0|97|Maintenance
2022-02-01|Outlet_B|8.0|39.6|214|Normal Operation
2022-02-02|Outlet_C|2.8|60.3|155|Normal Operation
2022-02-03|Outlet_C|6.8|45.1|89|Normal Operation
2022-02-04|Outlet_C|26.1|156.2|148|Maintenance
2022-02-05|Outlet_B|9.9|53.0|164|Maintenance
2022-02-06|Outlet_B|4.1|56.0|210|Normal Operation
2022-02-07|Outlet_C|12.8|154.3|162|Normal Operation
2022-02-08|Outlet_C|26.3|200.5|188|Construction
2022-02-09|Outlet_B|10.8|101.0|123|Normal Operation
2022-02-10|Outlet_C|7.3|64.4|211|Normal Operation
2022-02-11|Outlet_A|19.9|122.3|97|Normal Operation
2022-02-12|Outlet_B|5.5|53.0|172|Maintenance
2022-02-13|Outlet_C|16.5|84.4|117|Normal Operation
2022-02-14|Outlet_B|5.2|61.0|130|Normal Operation
2022-02-15|Outlet_A|6.0|64.0|98|Normal Operation
2022-02-16|Outlet_B|14.3|117.1|199|Normal Operation
2022-02-17|Outlet_B|19.4|120.1|147|Normal Operation
2022-02-18|Outlet_B|7.7|73.5|145|Normal Operation
2022-02-19|Outlet_B|19.0|131.9|177|Normal Operation
2022-02-20|Outlet_A|11.0|90.0|167|Normal Operation
2022-02-21|Outlet_B|4.2|63.5|112|Normal Operation
2022-02-22|Outlet_B|6.0|67.0|184|Normal Operation
2022-02-23|Outlet_C|12.2|190.7|153|Construction
2022-02-24|Outlet_B|20.7|166.2|161|Construction
2022-02-25|Outlet_C|16.7|137.1|98|Normal Operation
2022-02-26|Outlet_A|16.9|119.0|150|Maintenance
2022-02-27|Outlet_A|2.4|30.9|136|Normal Operation
2022-02-28|Outlet_A|13.9|145.9|158|Construction
2022-03-01|Outlet_A|13.4|131.2|121|Normal Operation
2022-03-02|Outlet_C|10.2|153.2|195|Normal Operation
2022-03-03|Outlet_B|13.3|107.3|83|Normal Operation
2022-03-04|Outlet_A|1.5|42.4|83|Normal Operation
2022-03-05|Outlet_B|0.6|111.0|84|Construction
2022-03-06|Outlet_C|10.1|112.2|120|Normal Operation
2022-03-07|Outlet_C|7.9|27.6|187|Normal Operation
2022-03-08|Outlet_C|7.0|64.4|166|Normal Operation
2022-03-09|Outlet_A|11.4|119.8|183|Maintenance
2022-03-10|Outlet_B|9.7|40.6|196|Normal Operation
2022-03-11|Outlet_B|10.6|109.3|180|Normal Operation
2022-03-12|Outlet_B|15.5|209.5|154|Construction
2022-03-13|Outlet_C|5.4|48.2|154|Normal Operation
2022-03-14|Outlet_A|10.7|131.1|92|Normal Operation
2022-03-15|Outlet_C|4.8|128.4|104|Construction
2022-03-16|Outlet_C|1.1|73.3|194|Normal Operation
2022-03-17|Outlet_B|6.6|57.4|161|Normal Operation
2022-03-18|Outlet_C|17.1|122.2|89|Normal Operation
2022-03-19|Outlet_B|3.9|58.5|129|Maintenance
2022-03-20|Outlet_A|11.4|118.6|94|Normal Operation
2022-03-21|Outlet_B|15.6|154.6|95|Construction
2022-03-22|Outlet_A|14.0|143.3|81|Maintenance
2022-03-23|Outlet_B|4.8|51.9|109|Normal Operation
2022-03-24|Outlet_C|4.4|32.3|161|Maintenance
2022-03-25|Outlet_C|8.6|78.1|110|Normal Operation
2022-03-26|Outlet_A|10.2|160.9|156|Normal Operation
2022-03-27|Outlet_A|13.2|123.1|193|Maintenance
2022-03-28|Outlet_A|13.3|166.5|114|Construction
2022-03-29|Outlet_B|40.5|194.1|102|Normal Operation
2022-03-30|Outlet_B|21.9|127.9|185|Normal Operation
2022-03-31|Outlet_A|6.3|19.5|176|Normal Operation
2022-04-01|Outlet_C|30.6|203.7|194|Normal Operation
2022-04-02|Outlet_B|3.0|38.2|179|Normal Operation
2022-04-03|Outlet_B|3.4|50.0|134|Normal Operation
