Employee_ID,Gender,Department,Education_Level,Job_Level,Age,Years_Experience,Training_Hours,Monthly_Salary,Performance_Score,Attendance_Rate,Project_Completed,Promotion_Last_3Y
133,female,IT,Bachelor,Junior,43,3,18.7,,71.8,90.4,1,0
134,Female,Finance,PhD,Officer,32,8,17.9,18633940.0,68.8,98.1,3,0
135,MALE,Marketing,Diploma,Junior,28,8,8.8,11288247.0,61.2,95.7,2,0
136,MALE,Compliance,Bachelor,Supervisor,30,6,4.7,14079454.0,49.0,106.5,7,1
137,female,Risk,Bachelor,Supervisor,42,10,,14973249.0,85.7,88.1,2,0
138,Female,Finance,Bachelor,Manager,50,10,26.3,,86.7,93.2,2,0
139,Female,Marketing,Bachelor,Officer,23,3,15.8,9534191.0,91.1,86.1,8,0
140,Female,Marketing,Master,Manager,25,8,1.9,23956065.0,46.400.000.000.000.000,81.9,3,0
141,Male,Risk,Master,Manager,32,2,23.0,9853108.0,74.5,96.6,6,0
142,Female,IT,PhD,Officer,34,11,,14864443.0,72.4,95.5,6,1
143,female,Marketing,Bachelor,Manager,40,8,23.1,9619213.0,73.4,88.7,2,0
144,female,Compliance,Bachelor,Officer,26,8,34.0,11859387.0,90.3,93.5,5,0
145,female,Marketing,Bachelor,Officer,25,11,19.3,7830154.0,77.7,89.9,2,0
146,female,Marketing,Bachelor,Supervisor,35,6,8.0,16905689.0,82.2,90.5,2,0
147,female,Marketing,Bachelor,Officer,31,12,18.9,9819560.0,73.1,91.4,5,0
148,MALE,IT,Bachelor,Supervisor,41,3,15.3,18091922.0,92.5,88.5,4,0
149,Female,Finance,Master,Supervisor,37,15,29.9,12243716.0,57.0,89.4,3,0
150,female,Marketing,Bachelor,Supervisor,38,5,6.7,6372002.0,64.6,89.6,5,0
151,Male,Hr,Bachelor,Officer,33,0,44.3,11315893.0,82.2,95.1,8,0
152,Male,Finance,Diploma,Officer,52,6,13.6,7748893.0,97.3,79.1,7,0
153,Male,IT,Diploma,Supervisor,27,5,12.9,14357398.0,75.5,91.9,5,0
154,Male,Operations,Diploma,Officer,38,6,,10954549.0,68.7,87.6,6,0
155,MALE,Finance,PhD,Officer,23,9,42.2,12652841.0,89.0,87.7,3,1
156,Male,Finance,Diploma,Junior,25,13,12.5,10522588.0,81.6,90.4,5,0
157,female,finance,Diploma,Supervisor,29,7,7.8,9778631.0,92.2,92.9,8,1
158,Female,HR,Bachelor,Junior,47,4,28.0,8105512.0,63.8,91.9,5,0
159,Male,finance,Master,Supervisor,36,2,21.1,15344892.0,91.3,87.7,6,1
160,MALE,Compliance,PhD,Supervisor,29,5,12.1,11307388.0,61.0,96.6,5,0
161,MALE,HR,Master,Officer,36,-1,41.3,10741236.0,74.8,88.5,5,0
162,Male,Risk,Bachelor,Officer,34,4,,11207144.0,82.5,89.3,7,0
163,Female,Risk,Bachelor,Senior Manager,30,14,8.6,9284553.0,80.0,94.4,5,0
164,Male,IT,Diploma,Manager,22,3,24.7,10754594.0,89.7,94.6,4,1
165,MALE,HR,PhD,Manager,45,11,5.4,12822519.0,57.9,89.9,7,0
166,Female,Finance,Master,Manager,35,1,11.5,7863452.0,79.6,78.3,6,1
167,female,Risk,Bachelor,Junior,51,16,35.1,8442592.0,91.2,88.6,9,0
168,MALE,Marketing,Master,Junior,41,17,19.4,17513136.0,78.7,93.8,4,0
169,Male,Hr,Master,Officer,38,10,20.6,10548974.0,65.4,96.4,1,0
170,female,Finance,Bachelor,Junior,30,17,,9793757.0,89.1,92.6,8,0
171,Male,Compliance,PhD,Officer,25,9,13.3,6624514.0,70.9,90.6,5,1
172,Male,Marketing,Master,Officer,32,11,6.3,15402711.0,68.9,104.5,6,0
173,Female,Marketing,Bachelor,Officer,25,14,21.8,7776297.0,67.5,91.1,5,0
174,female,HR,Bachelor,Supervisor,39,8,,11938829.0,75.8,96.1,6,1
175,female,IT,Diploma,Supervisor,47,0,5.9,5167260.0,80.0,86.3,8,0
176,Female,Compliance,Bachelor,Officer,31,11,14.7,15272691.0,64.0,87.5,2,0
177,MALE,Risk,Diploma,Manager,41,5,33.9,16707425.0,66.3,96.2,4,0
178,Male,HR,Bachelor,Officer,28,6,6.8,13938081.0,70.4,98.2,1,0
179,Female,Risk,PhD,Manager,31,9,32.9,5862079.0,67.5,91.1,6,0
180,Male,HR,Bachelor,Junior,27,10,26.2,15355049.0,78.4,83.8,8,0
181,Male,HR,Bachelor,Senior Manager,16,8,1.8,8690604.0,82.0,92.2,7,0
182,MALE,HR,Bachelor,Supervisor,33,11,19.0,7316112.0,80.5,93.9,6,0
183,Male,IT,Diploma,Officer,35,4,6.5,10466156.0,80.5,93.5,4,0
184,Female,HR,Master,Junior,42,7,16.9,10386529.0,96.4,90.2,3,1
185,Female,Operations,Bachelor,Officer,40,12,,9979805.0,82.7,92.2,6,0
186,female,Hr,Diploma,Junior,40,16,53.6,17094697.0,86.6,89.3,6,0
187,Female,Risk,Bachelor,Junior,26,18,25.5,20047304.0,73.4,87.4,3,0
188,Male,Finance,Master,Supervisor,37,10,13.0,6523454.0,88.4,96.8,1,0
189,Male,,Master,Officer,46,12,20.0,9244670.0,72.9,93.5,8,0
190,MALE,Compliance,Diploma,Supervisor,37,17,31.7,,82.5,92.2,2,1
191,Female,IT,Bachelor,Manager,48,4,17.1,10445134.0,62.9,90.5,5,1
192,Female,Finance,Bachelor,Officer,50,11,50.4,13597595.0,79.8,92.1,4,0
193,female,Marketing,Bachelor,Supervisor,31,11,17.6,15663941.0,67.3,93.8,6,0
194,Female,Operations,Bachelor,Junior,28,15,22.3,14997464.0,88.3,101.6,4,0
195,female,finance,Bachelor,Supervisor,27,2,15.6,14438934.0,87.6,96.3,5,0
196,MALE,Finance,Bachelor,Officer,21,3,9.4,18636382.0,72.9,89.7,5,0
197,MALE,Finance,Bachelor,Senior Manager,29,8,12.0,5644211.0,100.5,89.7,6,1
198,Male,Operations,Master,Manager,43,9,16.3,17920435.0,74.9,88.9,3,0
199,Female,finance,Bachelor,Officer,16,13,36.9,10348033.0,60.3,92.0,5,1
200,female,Marketing,Bachelor,Junior,25,10,41.6,15140501.0,69.4,88.9,5,0
201,Female,HR,Bachelor,Manager,32,7,54.4,7881335.0,66.5,95.4,4,0
202,MALE,Risk,Bachelor,Supervisor,26,10,9.2,8366014.0,82.2,79.8,4,0
203,Male,Marketing,Master,Junior,29,9,29.3,14648469.0,64.4,95.7,4,0
204,Male,HR,Bachelor,Officer,29,16,38.3,4285080.0,72.1,94.4,4,0
205,female,IT,Bachelor,Supervisor,31,8,7.7,15957768.0,81.5,99.3,6,0
206,MALE,Hr,Master,Junior,28,6,18.5,,79.5,97.4,6,0
207,Female,Compliance,Bachelor,Manager,27,10,3.1,38133417.0,47.900.000.000.000.000,89.6,6,0
208,MALE,Compliance,Bachelor,Officer,41,8,26.9,12567044.0,79.4,96.8,7,0
209,female,,Master,Junior,42,0,41.2,8665455.0,73.9,92.2,5,1
210,female,finance,Bachelor,Manager,22,7,4.8,14697798.0,60.4,83.3,8,0
211,MALE,Operations,Bachelor,Officer,11,7,10.0,13390661.0,73.6,93.8,4,0
212,female,finance,PhD,Officer,42,5,9.7,8313978.0,83.2,89.9,5,0
213,MALE,Operations,Diploma,Junior,24,13,7.3,10434080.0,76.5,93.0,1,0
214,Female,finance,Bachelor,Junior,35,4,18.6,11362658.0,82.3,101.3,7,0
215,MALE,Hr,Bachelor,Supervisor,21,10,25.2,10428791.0,71.5,94.1,5,0
216,MALE,999,Master,Officer,44,7,28.2,6548354.0,88.9,87.9,9,0
217,female,IT,Diploma,Supervisor,54,8,33.2,14796081.0,49.9,97.8,5,0
218,female,HR,Diploma,Supervisor,35,10,54.8,11025958.0,79.6,94.8,8,0
219,Male,IT,Diploma,Supervisor,33,1,18.3,12061459.0,92.8,87.3,9,0
220,Male,IT,Diploma,Junior,31,8,14.0,9686934.0,94.5,85.0,5,0
221,Female,Marketing,Diploma,Officer,40,19,53.8,13901086.0,75.4,88.1,9,0
222,Male,Marketing,Bachelor,Manager,38,0,18.4,12794785.0,63.4,97.2,5,0
223,MALE,HR,Bachelor,Supervisor,42,7,11.9,16851138.0,93.0,91.5,6,0
224,female,Risk,Bachelor,Supervisor,28,13,45.4,13922395.0,77.4,93.4,3,1
225,Male,???,Bachelor,Officer,36,9,14.5,11189262.0,76.3,86.3,5,0
226,Male,XDept,Diploma,Officer,29,11,27.9,9041133.0,68.2,97.3,5,0
227,Unknown,Finance,Bachelor,Supervisor,25,-3,11.5,15463811.0,64.3,82.9,8,0
228,Female,Marketing,Bachelor,Manager,33,10,26.5,10869696.0,84.2,89.7,7,0
229,MALE,Hr,Master,Supervisor,26,4,28.5,11313130.0,85.4,95.1,8,0
230,female,HR,Diploma,Manager,43,9,45.3,11312114.0,80.2,87.4,12,0
231,Female,Finance,Bachelor,Supervisor,27,7,14.3,31180707.0,39.599.999.999.999.900,96.1,2,0
232,Male,Hr,Bachelor,Junior,36,19,19.7,,66.3,88.7,6,0
233,female,Hr,Master,Officer,29,10,23.8,19704830.0,62.2,86.9,4,0
234,F,Hr,Master,Junior,36,7,18.0,7808712.0,71.8,99.4,7,1
235,Male,Risk,Bachelor,Junior,29,0,9.7,8741983.0,66.9,93.8,4,0
236,Female,finance,Bachelor,Manager,23,8,35.9,17537298.0,59.2,95.6,4,0
237,Male,Finance,Master,Officer,37,12,19.1,10500782.0,85.2,98.1,3,0
238,female,Operations,Diploma,Officer,32,7,4.2,10197515.0,63.5,79.9,6,0
239,Female,Finance,Diploma,Junior,36,5,6.4,16139455.0,88.8,96.2,6,0
240,Female,finance,Bachelor,Officer,30,5,13.7,6319218.0,82.3,89.2,4,0
241,MALE,Finance,Diploma,Junior,23,10,11.3,15285818.0,81.2,89.9,7,0
242,Male,IT,PhD,Junior,42,11,5.3,12182466.0,96.3,95.2,6,1
243,Male,Operations,Master,Supervisor,39,14,6.8,13859209.0,63.9,91.2,6,1
244,MALE,finance,Bachelor,Officer,29,3,49.6,41352372.0,57.599.999.999.999.900,96.0,6,0
245,MALE,Risk,Bachelor,Supervisor,34,10,34.8,9488070.0,74.7,92.8,2,1
246,MALE,Compliance,PhD,Junior,42,7,41.6,16204735.0,106.3,93.8,4,0
247,female,finance,Master,Junior,30,7,48.6,9799449.0,73.8,90.5,2,0
248,Male,HR,Bachelor,Officer,31,10,13.6,13635396.0,72.0,87.7,4,0
249,female,finance,Master,Supervisor,35,10,26.5,16950898.0,82.7,89.3,4,0
250,MALE,IT,PhD,Supervisor,30,10,1.7,17515607.0,75.7,92.5,3,0
251,Male,Compliance,Master,Officer,40,2,25.3,,69.7,102.2,5,1
252,female,IT,Diploma,Officer,32,4,9.1,13852541.0,67.3,100.4,6,0
253,female,Compliance,Bachelor,Supervisor,27,15,11.6,10562045.0,94.0,89.7,4,0
254,MALE,HR,Master,Junior,38,6,21.3,22015185.0,65.2,93.3,4,1
255,Male,Risk,Bachelor,Officer,24,9,17.0,,80.5,91.6,2,0
256,MALE,IT,Master,Manager,50,13,11.2,12336234.0,89.6,93.7,9,0
257,M,,Diploma,Supervisor,46,10,11.7,13250249.0,90.1,94.3,9,0
258,Female,Hr,?,Officer,38,10,7.7,,71.4,95.6,8,0
259,Female,Compliance,Bachelor,Manager,37,12,5.1,13746974.0,75.7,78.5,6,0
260,Female,Marketing,Diploma,Supervisor,37,-2,4.8,11040007.0,73.6,94.8,8,0
261,Female,Compliance,PhD,Officer,30,5,30.3,10422691.0,61.1,91.0,4,0
262,MALE,Hr,Master,Supervisor,36,10,14.3,11392587.0,83.9,89.5,7,1
263,Female,Finance,Master,Supervisor,26,14,44.0,7441233.0,78.4,97.0,6,1
264,Male,Compliance,Bachelor,Officer,38,8,27.9,14873098.0,93.8,100.3,6,0
265,female,Risk,Bachelor,Officer,40,3,23.1,8793180.0,68.9,96.4,7,0
266,Male,Hr,Bachelor,Officer,30,3,6.5,7760200.0,90.0,90.4,2,0
267,female,Finance,Magister,Supervisor,29,12,6.4,11942582.0,90.8,87.6,7,1
268,F,Operations,Bachelor,Officer,24,6,18.6,11479509.0,78.5,78.0,6,0
269,Female,Hr,Bachelor,Manager,45,7,17.7,12998538.0,54.1,93.9,6,0
270,female,Operations,Bachelor,Supervisor,29,11,11.9,9727179.0,72.4,95.9,6,0
271,MALE,IT,Bachelor,Junior,32,-6,22.6,10429830.0,97.6,92.5,5,1
272,Male,Hr,PhD,Supervisor,36,18,21.1,14768478.0,81.3,97.7,7,0
273,Male,HR,Master,Officer,36,4,18.4,14524869.0,85.6,86.4,5,0
274,female,Operations,Bachelor,Supervisor,39,9,36.4,14358100.0,77.0,92.1,9,0
275,MALE,Risk,Bachelor,Supervisor,30,0,53.0,12135870.0,75.5,91.7,6,0
276,MALE,HR,Master,Junior,24,5,17.2,12675690.0,57.5,92.4,5,0
277,Female,finance,Diploma,Officer,23,14,13.6,12921756.0,86.7,98.8,3,0
278,MALE,finance,Master,Junior,29,-1,55.1,9375833.0,89.9,92.5,10,0
279,MALE,Finance,Master,Junior,26,13,19.7,17896186.0,67.5,91.5,3,0
280,MALE,IT,Bachelor,Officer,31,6,29.5,17326352.0,76.0,88.3,4,0
281,Female,Hr,Bachelor,Officer,44,10,9.0,15176982.0,74.5,99.6,4,0
282,Female,Marketing,Bachelor,Senior Manager,30,11,,10296554.0,82.6,85.8,5,0
283,Male,Risk,Bachelor Degree,Officer,30,10,13.7,14156576.0,72.0,90.2,8,1
284,female,Operations,Diploma,Officer,33,3,19.3,15913480.0,88.2,101.5,2,0
285,Male,HR,Master,Supervisor,30,6,20.3,7107212.0,78.8,95.3,12,0
286,Female,finance,Diploma,Junior,33,0,12.4,18778047.0,50.0,92.9,4,0
287,female,,Bachelor,Senior Manager,38,10,23.6,5042450.0,82.9,93.1,2,0
288,Female,Marketing,Master,Supervisor,41,16,22.3,14818423.0,89.0,88.3,3,0
289,MALE,Hr,Master,Supervisor,42,-1,46.8,17813129.0,65.3,92.7,1,1
290,female,Finance,Bachelor,Junior,50,4,9.2,11547746.0,82.5,91.3,8,0
291,MALE,Marketing,Bachelor,Officer,38,7,28.5,,98.1,93.9,8,0
292,Male,Risk,Diploma,Officer,51,8,17.0,14670643.0,79.2,85.5,6,0
293,Male,Marketing,Magister,Manager,27,12,11.3,19407528.0,90.6,95.0,3,0
294,female,Risk,Diploma,Junior,50,7,6.3,10875729.0,73.1,98.1,5,1
295,female,Risk,Bachelor,Officer,30,6,19.7,8876179.0,77.8,92.0,5,0
296,Female,Compliance,PhD,Senior Manager,31,13,13.6,10304898.0,75.7,96.2,5,0
297,Female,Operations,Diploma,Officer,33,11,18.6,5789944.0,73.7,94.6,3,0
298,MALE,finance,Master,Officer,32,10,,15591032.0,76.4,90.0,9,0
299,female,Compliance,PhD,Junior,34,8,19.3,9943668.0,60.1,87.7,6,1
300,Male,,Diploma,Senior Manager,29,12,,11166643.0,74.4,88.4,7,1
301,Female,Compliance,Master,Junior,40,4,29.9,15638485.0,92.7,94.5,5,1
302,Female,IT,Bachelor,Supervisor,29,4,44.4,10492359.0,67.4,92.7,4,0
303,Male,IT,Master,Supervisor,39,11,23.0,15036362.0,66.3,99.4,4,0
304,Female,finance,Bachelor,Junior,46,0,10.7,23542938.0,48.7,97.0,3,0
305,MALE,Marketing,Bachelor,Supervisor,31,8,19.8,15834878.0,79.2,96.9,11,0
306,female,Operations,Bachelor,Junior,40,6,14.5,13367620.0,82.2,94.3,4,0
307,Male,finance,Master,Officer,38,0,22.5,,76.7,88.2,6,0
308,female,Risk,Master,Supervisor,52,3,3.7,12523574.0,78.8,94.6,8,1
309,Female,HR,Bachelor,Manager,29,7,,20558865.0,44.099.999.999.999.900,93.3,4,0
310,F,Operations,Master,Supervisor,40,13,9.0,12432003.0,64.0,87.3,10,0
311,Male,Operations,Bachelor,Officer,20,4,8.6,11433321.0,77.2,99.0,4,1
312,MALE,Risk,Bachelor,Junior,30,14,17.7,6962270.0,86.0,98.5,6,0
313,Female,999,Bachelor,Junior,36,8,14.5,9315698.0,83.7,87.3,6,0
